Well Name,Depth,Facies,GR,AC,DEN,CNL
JY41-5,2613.75,3,235.295,246.424,2.485,9.894
JY41-5,2614.625,3,232.853,246.094,2.478,9.808
JY41-5,2614.75,3,342.241,265.573,2.489,12.722
JY41-5,2614.875,3,383.445,267.251,2.459,13.419
JY41-5,2615,6,418.372,266.23,2.432,13.646
JY41-5,2615.125,6,439.984,261.819,2.421,13.551
JY41-5,2615.25,6,435.24,254.145,2.431,13.059
JY41-5,2615.375,6,395.534,244.298,2.466,11.85
JY41-5,2615.5,6,326.75,234.854,2.518,9.94
JY41-5,2615.625,6,256.282,228.106,2.576,8.13
JY41-5,2615.75,6,213.388,226.21,2.613,7.306
JY41-5,2615.875,6,203.697,228.734,2.61,7.849
JY41-5,2616,6,210.302,234.457,2.569,9.559
JY41-5,2616.125,6,214.836,241.067,2.518,11.485
JY41-5,2616.25,6,213.092,246.825,2.481,12.634
JY41-5,2616.375,6,207.351,250.569,2.465,12.501
JY41-5,2616.5,6,198.681,252.206,2.465,11.476
JY41-5,2616.625,3,188.415,252.166,2.472,10.204
JY41-5,2616.75,3,182.427,250.89,2.48,9.304
JY41-5,2616.875,3,184.242,249.099,2.488,9.029
JY41-5,2617.625,3,190.967,247.141,2.496,9.515
JY41-5,2617.75,3,199.499,247.019,2.465,8.646
JY41-5,2617.875,3,202.452,248.231,2.462,9.069
JY41-5,2618.5,3,201.064,248.967,2.465,9.755
JY41-5,2618.625,3,174.656,247.25,2.458,9.24
JY41-5,2618.75,3,168.856,246.184,2.465,9.695
JY41-5,2619.625,3,162.439,244.483,2.469,10.233
JY41-5,2619.75,3,142.771,247.148,2.526,12.827
JY41-5,2619.875,3,138.054,249.61,2.53,14.202
JY41-5,2620.5,4,134.219,251.71,2.532,14.315
JY41-5,2620.625,4,158.97,269.262,2.527,15.911
JY41-5,2620.75,4,168.608,273.406,2.535,16.95
